route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
BX26,GH_O5-Weekday,GH_O5-Weekday-128500_BX256_516,BEDFORD PK LEHMAN COLL via ALLERTON AV,1,37928405,BX260294
BX26,GH_O5-Weekday,GH_O5-Weekday-131500_BX30_569,BEDFORD PK LEHMAN COLL via ALLERTON AV,1,37928397,BX260294
BX25,GH_O5-Weekday,GH_O5-Weekday-034800_BX256_502,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928393,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-036400_BX256_503,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928394,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-037800_BX256_505,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928396,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-039200_BX238_615,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928398,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-040400_BX238_621,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928400,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-041500_BX256_511,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928402,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-042900_BX256_513,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928404,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-044500_BX256_502,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928393,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-046200_BX238_631,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928406,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-047800_BX256_503,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928394,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-049800_BX256_505,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928396,BX250257
BX25,GH_O5-Weekday,GH_O5-Weekday-051800_BX238_615,BEDFORD PARK LEHMAN COLLEGE via ALLERTON,1,37928398,BX250257
