route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
SIM34,CA_D5-Weekday,CA_D5-Weekday-103700_MISC_276,MARINERS HARBOR via WATCHOGUE RD,1,38311350,SIM340094
SIM34,CA_D5-Weekday,CA_D5-Weekday-031000_MISC_242,SOHO HOUSTON ST via CHURCH ST,0,38311354,SIM340086
SIM34,CA_D5-Weekday,CA_D5-Weekday-034000_MISC_253,SOHO HOUSTON ST via CHURCH ST,0,38311355,SIM340086
SIM34,CA_D5-Weekday,CA_D5-Weekday-035500_MISC_261,SOHO HOUSTON ST via CHURCH ST,0,38311356,SIM340086
SIM34,CA_D5-Weekday,CA_D5-Weekday-036500_SIM34_214,SOHO HOUSTON ST via CHURCH ST,0,38311339,SIM340086
SIM34,CA_D5-Weekday,CA_D5-Weekday-037500_MISC_275,SOHO HOUSTON ST via CHURCH ST,0,38311352,SIM340086
SIM34,CA_D5-Weekday,CA_D5-Weekday-040100_SIM34_215,SOHO HOUSTON ST via CHURCH ST,0,38311357,SIM340086
SIM34,CA_D5-Weekday,CA_D5-Weekday-043300_MISC_324,SOHO HOUSTON ST via CHURCH ST,0,38311359,SIM340086
SIM34,CA_D5-Weekday,CA_D5-Weekday-044700_MISC_242,SOHO HOUSTON ST via CHURCH ST,0,38311354,SIM340086
SIM34,CA_D5-Weekday,CA_D5-Weekday-046700_MISC_253,SOHO HOUSTON ST via CHURCH ST,0,38311355,SIM340086
SIM34,CA_D5-Weekday,CA_D5-Weekday-054000_SIM34_215,SOHO HOUSTON ST via CHURCH ST,0,38311357,SIM340086
SIM34,CA_D5-Weekday,CA_D5-Weekday-089500_SIM34_218,MARINERS HARBOR via WATCHOGUE RD,1,38311360,SIM340094
SIM34,CA_D5-Weekday,CA_D5-Weekday-091500_SIM34_219,MARINERS HARBOR via WATCHOGUE RD,1,38311361,SIM340094
SIM34,CA_D5-Weekday,CA_D5-Weekday-093500_MISC_314,MARINERS HARBOR via WATCHOGUE RD,1,38311362,SIM340094
SIM34,CA_D5-Weekday,CA_D5-Weekday-095000_MISC_313,MARINERS HARBOR via WATCHOGUE RD,1,38311363,SIM340094
SIM34,CA_D5-Weekday,CA_D5-Weekday-096500_SIM34_220,MARINERS HARBOR via WATCHOGUE RD,1,38311364,SIM340094
SIM34,CA_D5-Weekday,CA_D5-Weekday-098000_SIM34_215,MARINERS HARBOR via WATCHOGUE RD,1,38311365,SIM340094
SIM34,CA_D5-Weekday,CA_D5-Weekday-101300_SIM34_214,MARINERS HARBOR via WATCHOGUE RD,1,38311366,SIM340094
SIM34,CA_D5-Weekday,CA_D5-Weekday-102900_MISC_323,MARINERS HARBOR via WATCHOGUE RD,1,38311367,SIM340094
SIM34,CA_D5-Weekday,CA_D5-Weekday-104500_SIM34_218,MARINERS HARBOR via WATCHOGUE RD,1,38311360,SIM340094
SIM34,CA_D5-Weekday,CA_D5-Weekday-105500_SIM34_219,MARINERS HARBOR via WATCHOGUE RD,1,38311361,SIM340094
SIM34,CA_D5-Weekday,CA_D5-Weekday-106500_MISC_314,MARINERS HARBOR via WATCHOGUE RD,1,38311362,SIM340094
SIM34,CA_D5-Weekday,CA_D5-Weekday-107500_MISC_300,MARINERS HARBOR via WATCHOGUE RD,1,38311368,SIM340094
SIM34,CA_D5-Weekday,CA_D5-Weekday-109000_MISC_313,MARINERS HARBOR via WATCHOGUE RD,1,38311363,SIM340094
SIM34,CA_D5-Weekday,CA_D5-Weekday-110500_SIM34_220,MARINERS HARBOR via WATCHOGUE RD,1,38311364,SIM340094
SIM3C,CA_D5-Weekday,CA_D5-Weekday-063500_SIM3_172,PT RCHMND via NARROWS RD N via WATCHOGUE,1,38310981,SIM3C0087
SIM3C,CA_D5-Weekday,CA_D5-Weekday-057500_MISC_274,MIDTOWN via CHURCH ST via 6 AV,0,38311096,SIM3C0084
SIM3C,CA_D5-Weekday,CA_D5-Weekday-069500_MISC_274,PT RCHMND via NARROWS RD N via WATCHOGUE,1,38311096,SIM3C0087
SIM3C,CA_D5-Weekday,CA_D5-Weekday-063000_MISC_272,MIDTOWN via CHURCH ST via 6 AV,0,38310956,SIM3C0084
SIM3C,CA_D5-Weekday,CA_D5-Weekday-075500_MISC_272,PT RCHMND via NARROWS RD N via WATCHOGUE,1,38310956,SIM3C0087
SIM3C,CA_D5-Weekday,CA_D5-Weekday-066000_MISC_255,MIDTOWN via CHURCH ST via 6 AV,0,38310957,SIM3C0084
SIM3C,CA_D5-Weekday,CA_D5-Weekday-078500_MISC_255,PT RCHMND via NARROWS RD N via WATCHOGUE,1,38310957,SIM3C0087
SIM3C,CA_D5-Weekday,CA_D5-Weekday-069000_SIM3_174,MIDTOWN via CHURCH ST via 6 AV,0,38310958,SIM3C0084
SIM3C,CA_D5-Weekday,CA_D5-Weekday-072000_SIM3_177,MIDTOWN via CHURCH ST via 6 AV,0,38310959,SIM3C0084
SIM3C,CA_D5-Weekday,CA_D5-Weekday-084000_SIM3_178,MIDTOWN via CHURCH ST via 6 AV,0,38310963,SIM3C0084
SIM3C,CA_D5-Weekday,CA_D5-Weekday-087000_MISC_305,MIDTOWN via CHURCH ST via 6 AV,0,38310964,SIM3C0084
SIM3C,CA_D5-Weekday,CA_D5-Weekday-093000_MISC_373,MIDTOWN via CHURCH ST via 6 AV,0,38310966,SIM3C0084
SIM3C,CA_D5-Weekday,CA_D5-Weekday-090000_SIM3_175,MIDTOWN via CHURCH ST via 6 AV,0,38310967,SIM3C0084
SIM3C,CA_D5-Weekday,CA_D5-Weekday-102000_MISC_363,MIDTOWN via CHURCH ST via 6 AV,0,38310969,SIM3C0084
SIM3C,CA_D5-Weekday,CA_D5-Weekday-111000_MISC_339,MIDTOWN via CHURCH ST via 6 AV,0,38310971,SIM3C0084
SIM3C,CA_D5-Weekday,CA_D5-Weekday-119500_SIM3_177,PT RCHMND via NARROWS RD N via WATCHOGUE,1,38311112,SIM3C0087
SIM3C,CA_D5-Weekday,CA_D5-Weekday-121500_MISC_381,PT RCHMND via NARROWS RD N via WATCHOGUE,1,38310972,SIM3C0087
SIM3C,CA_D5-Weekday,CA_D5-Weekday-117000_MISC_360,MIDTOWN via CHURCH ST via 6 AV,0,38310973,SIM3C0084
