service_id,date,exception_type
AFA25GEN-6091-Weekday-00_C2,20251230,2
AFA25GEN-6091-Weekday-00_C2,20251231,2
AFA25GEN-6091-Weekday-00_C2,20260101,2
AFA25GEN-6091-Weekday-00_C2,20260119,2
AFA25GEN-6091-Weekday-00_C2,20260216,2
AFA25GEN-7024-Saturday-00_C58,20251227,2
AFA25GEN-7024-Saturday-00_C58,20260119,1
AFA25GEN-7024-Saturday-00_C58,20260216,1
AFA25GEN-7026-Sunday-00_C16,20251127,1
AFA25GEN-7026-Sunday-00_C16,20251225,2
AFA25GEN-7026-Sunday-00_C16,20251228,2
AFA25GEN-7026-Sunday-00_C16,20260101,1
AFA25GEN-7064-Weekday-00_C32,20251127,2
AFA25GEN-7064-Weekday-00_C32,20251223,2
AFA25GEN-7064-Weekday-00_C32,20251224,2
AFA25GEN-7064-Weekday-00_C32,20251225,2
AFA25GEN-7064-Weekday-00_C32,20251226,2
AFA25GEN-7064-Weekday-00_C32,20251229,2
AFA25GEN-7064-Weekday-00_C32,20251230,2
AFA25GEN-7064-Weekday-00_C32,20251231,2
AFA25GEN-7064-Weekday-00_C32,20260101,2
AFA25GEN-7064-Weekday-00_C32,20260119,2
AFA25GEN-7064-Weekday-00_C32,20260216,2
AFA25GEN-GS013-Saturday-00,20260119,1
AFA25GEN-GS013-Saturday-00,20260216,1
AFA25GEN-GS013-Sunday-00,20251127,1
AFA25GEN-GS013-Sunday-00,20251225,1
AFA25GEN-GS013-Sunday-00,20260101,1
AFA25GEN-GS022-Weekday-00,20251127,2
AFA25GEN-GS022-Weekday-00,20251225,2
AFA25GEN-GS022-Weekday-00,20260101,2
AFA25GEN-GS022-Weekday-00,20260119,2
AFA25GEN-GS022-Weekday-00,20260216,2
BFA25GEN-A047-Saturday-00_C12,20251227,2
BFA25GEN-A047-Saturday-00_C12,20260119,1
BFA25GEN-A047-Saturday-00_C12,20260216,1
BFA25GEN-A055-Sunday-00_C47,20251127,1
BFA25GEN-A055-Sunday-00_C47,20251225,2
BFA25GEN-A055-Sunday-00_C47,20251228,2
BFA25GEN-A055-Sunday-00_C47,20260101,1
BFA25GEN-A087-Weekday-00_C7,20251127,2
BFA25GEN-A087-Weekday-00_C7,20251223,2
BFA25GEN-A087-Weekday-00_C7,20251224,2
BFA25GEN-A087-Weekday-00_C7,20251225,2
BFA25GEN-A087-Weekday-00_C7,20251226,2
BFA25GEN-A087-Weekday-00_C7,20251229,2
BFA25GEN-A087-Weekday-00_C7,20251230,2
BFA25GEN-A087-Weekday-00_C7,20251231,2
BFA25GEN-A087-Weekday-00_C7,20260101,2
BFA25GEN-A087-Weekday-00_C7,20260119,2
BFA25GEN-A087-Weekday-00_C7,20260216,2
BFA25GEN-B087-Weekday-00_C29,20251127,2
BFA25GEN-B087-Weekday-00_C29,20251223,2
BFA25GEN-B087-Weekday-00_C29,20251224,2
BFA25GEN-B087-Weekday-00_C29,20251225,2
BFA25GEN-B087-Weekday-00_C29,20251226,2
BFA25GEN-B087-Weekday-00_C29,20251229,2
BFA25GEN-B087-Weekday-00_C29,20251230,2
BFA25GEN-B087-Weekday-00_C29,20251231,2
BFA25GEN-B087-Weekday-00_C29,20260101,2
BFA25GEN-B087-Weekday-00_C29,20260119,2
BFA25GEN-B087-Weekday-00_C29,20260216,2
BFA25GEN-C026-Saturday-00_C54,20251227,2
BFA25GEN-C026-Saturday-00_C54,20260119,1
BFA25GEN-C026-Saturday-00_C54,20260216,1
BFA25GEN-C028-Sunday-00_C56,20251127,1
BFA25GEN-C028-Sunday-00_C56,20251225,2
BFA25GEN-C028-Sunday-00_C56,20251228,2
BFA25GEN-C028-Sunday-00_C56,20260101,1
BFA25GEN-C059-Weekday-00_C65,20251127,2
BFA25GEN-C059-Weekday-00_C65,20251223,2
BFA25GEN-C059-Weekday-00_C65,20251224,2
BFA25GEN-C059-Weekday-00_C65,20251225,2
BFA25GEN-C059-Weekday-00_C65,20251226,2
BFA25GEN-C059-Weekday-00_C65,20251229,2
BFA25GEN-C059-Weekday-00_C65,20251230,2
BFA25GEN-C059-Weekday-00_C65,20251231,2
BFA25GEN-C059-Weekday-00_C65,20260101,2
BFA25GEN-C059-Weekday-00_C65,20260119,2
BFA25GEN-C059-Weekday-00_C65,20260216,2
BFA25GEN-D041-Saturday-00_C36,20251227,2
BFA25GEN-D041-Saturday-00_C36,20260119,1
BFA25GEN-D041-Saturday-00_C36,20260216,1
BFA25GEN-D043-Sunday-00_C25,20251127,1
BFA25GEN-D043-Sunday-00_C25,20251225,2
BFA25GEN-D043-Sunday-00_C25,20251228,2
BFA25GEN-D043-Sunday-00_C25,20260101,1
BFA25GEN-D084-Weekday-00_C59,20251127,2
BFA25GEN-D084-Weekday-00_C59,20251223,2
BFA25GEN-D084-Weekday-00_C59,20251224,2
BFA25GEN-D084-Weekday-00_C59,20251225,2
BFA25GEN-D084-Weekday-00_C59,20251226,2
BFA25GEN-D084-Weekday-00_C59,20251229,2
BFA25GEN-D084-Weekday-00_C59,20251230,2
BFA25GEN-D084-Weekday-00_C59,20251231,2
BFA25GEN-D084-Weekday-00_C59,20260101,2
BFA25GEN-D084-Weekday-00_C59,20260119,2
BFA25GEN-D084-Weekday-00_C59,20260216,2
BFA25GEN-E043-Saturday-00_C30,20251227,2
BFA25GEN-E043-Saturday-00_C30,20260119,1
BFA25GEN-E043-Saturday-00_C30,20260216,1
BFA25GEN-E049-Sunday-00_C41,20251127,1
BFA25GEN-E049-Sunday-00_C41,20251225,2
BFA25GEN-E049-Sunday-00_C41,20251228,2
BFA25GEN-E049-Sunday-00_C41,20260101,1
BFA25GEN-E077-Weekday-00_C52,20251127,2
BFA25GEN-E077-Weekday-00_C52,20251223,2
BFA25GEN-E077-Weekday-00_C52,20251224,2
BFA25GEN-E077-Weekday-00_C52,20251225,2
BFA25GEN-E077-Weekday-00_C52,20251226,2
BFA25GEN-E077-Weekday-00_C52,20251229,2
BFA25GEN-E077-Weekday-00_C52,20251230,2
BFA25GEN-E077-Weekday-00_C52,20251231,2
BFA25GEN-E077-Weekday-00_C52,20260101,2
BFA25GEN-E077-Weekday-00_C52,20260119,2
BFA25GEN-E077-Weekday-00_C52,20260216,2
BFA25GEN-F045-Saturday-00_C43,20251227,2
BFA25GEN-F045-Saturday-00_C43,20260119,1
BFA25GEN-F045-Saturday-00_C43,20260216,1
BFA25GEN-F049-Sunday-00_C35,20251127,1
BFA25GEN-F049-Sunday-00_C35,20251225,2
BFA25GEN-F049-Sunday-00_C35,20251228,2
BFA25GEN-F049-Sunday-00_C35,20260101,1
BFA25GEN-F080-Weekday-00_C14,20251127,2
BFA25GEN-F080-Weekday-00_C14,20251223,2
BFA25GEN-F080-Weekday-00_C14,20251224,2
BFA25GEN-F080-Weekday-00_C14,20251225,2
BFA25GEN-F080-Weekday-00_C14,20251226,2
BFA25GEN-F080-Weekday-00_C14,20251229,2
BFA25GEN-F080-Weekday-00_C14,20251230,2
BFA25GEN-F080-Weekday-00_C14,20251231,2
BFA25GEN-F080-Weekday-00_C14,20260101,2
BFA25GEN-F080-Weekday-00_C14,20260119,2
BFA25GEN-F080-Weekday-00_C14,20260216,2
BFA25GEN-FS012-Saturday-00,20260119,1
BFA25GEN-FS012-Saturday-00,20260216,1
BFA25GEN-FS012-Weekday-00,20251127,2
BFA25GEN-FS012-Weekday-00,20251225,2
BFA25GEN-FS012-Weekday-00,20260101,2
BFA25GEN-FS012-Weekday-00,20260119,2
BFA25GEN-FS012-Weekday-00,20260216,2
BFA25GEN-FS013-Sunday-00,20251127,1
BFA25GEN-FS013-Sunday-00,20251225,1
BFA25GEN-FS013-Sunday-00,20260101,1
BFA25GEN-G038-Saturday-00_C31,20251227,2
BFA25GEN-G038-Saturday-00_C31,20260119,1
BFA25GEN-G038-Saturday-00_C31,20260216,1
BFA25GEN-G039-Sunday-00_C66,20251127,1
BFA25GEN-G039-Sunday-00_C66,20251225,2
BFA25GEN-G039-Sunday-00_C66,20251228,2
BFA25GEN-G039-Sunday-00_C66,20260101,1
BFA25GEN-G056-Weekday-00_C5,20251127,2
BFA25GEN-G056-Weekday-00_C5,20251223,2
BFA25GEN-G056-Weekday-00_C5,20251224,2
BFA25GEN-G056-Weekday-00_C5,20251225,2
BFA25GEN-G056-Weekday-00_C5,20251226,2
BFA25GEN-G056-Weekday-00_C5,20251229,2
BFA25GEN-G056-Weekday-00_C5,20251230,2
BFA25GEN-G056-Weekday-00_C5,20251231,2
BFA25GEN-G056-Weekday-00_C5,20260101,2
BFA25GEN-G056-Weekday-00_C5,20260119,2
BFA25GEN-G056-Weekday-00_C5,20260216,2
BFA25GEN-H026-Sunday-00_C62,20251127,1
BFA25GEN-H026-Sunday-00_C62,20251225,2
BFA25GEN-H026-Sunday-00_C62,20251228,2
BFA25GEN-H026-Sunday-00_C62,20260101,1
BFA25GEN-H027-Saturday-00_C53,20251227,2
BFA25GEN-H027-Saturday-00_C53,20260119,1
BFA25GEN-H027-Saturday-00_C53,20260216,1
BFA25GEN-H043-Weekday-00_C50,20251127,2
BFA25GEN-H043-Weekday-00_C50,20251223,2
BFA25GEN-H043-Weekday-00_C50,20251224,2
BFA25GEN-H043-Weekday-00_C50,20251225,2
BFA25GEN-H043-Weekday-00_C50,20251226,2
BFA25GEN-H043-Weekday-00_C50,20251229,2
BFA25GEN-H043-Weekday-00_C50,20251230,2
BFA25GEN-H043-Weekday-00_C50,20251231,2
BFA25GEN-H043-Weekday-00_C50,20260101,2
BFA25GEN-H043-Weekday-00_C50,20260119,2
BFA25GEN-H043-Weekday-00_C50,20260216,2
BFA25GEN-J034-Saturday-00_C3,20251227,2
BFA25GEN-J034-Saturday-00_C3,20260119,1
BFA25GEN-J034-Saturday-00_C3,20260216,1
BFA25GEN-J034-Sunday-00_C55,20251127,1
BFA25GEN-J034-Sunday-00_C55,20251225,2
BFA25GEN-J034-Sunday-00_C55,20251228,2
BFA25GEN-J034-Sunday-00_C55,20260101,1
BFA25GEN-J056-Weekday-00_C28,20251127,2
BFA25GEN-J056-Weekday-00_C28,20251223,2
BFA25GEN-J056-Weekday-00_C28,20251224,2
BFA25GEN-J056-Weekday-00_C28,20251225,2
BFA25GEN-J056-Weekday-00_C28,20251226,2
BFA25GEN-J056-Weekday-00_C28,20251229,2
BFA25GEN-J056-Weekday-00_C28,20251230,2
BFA25GEN-J056-Weekday-00_C28,20251231,2
BFA25GEN-J056-Weekday-00_C28,20260101,2
BFA25GEN-J056-Weekday-00_C28,20260119,2
BFA25GEN-J056-Weekday-00_C28,20260216,2
BFA25GEN-L027-Saturday-00_C13,20251227,2
BFA25GEN-L027-Saturday-00_C13,20260119,1
BFA25GEN-L027-Saturday-00_C13,20260216,1
BFA25GEN-L027-Sunday-00_C44,20251127,1
BFA25GEN-L027-Sunday-00_C44,20251225,2
BFA25GEN-L027-Sunday-00_C44,20251228,2
BFA25GEN-L027-Sunday-00_C44,20260101,1
BFA25GEN-L053-Weekday-00_C61,20251127,2
BFA25GEN-L053-Weekday-00_C61,20251223,2
BFA25GEN-L053-Weekday-00_C61,20251224,2
BFA25GEN-L053-Weekday-00_C61,20251225,2
BFA25GEN-L053-Weekday-00_C61,20251226,2
BFA25GEN-L053-Weekday-00_C61,20251229,2
BFA25GEN-L053-Weekday-00_C61,20251230,2
BFA25GEN-L053-Weekday-00_C61,20251231,2
BFA25GEN-L053-Weekday-00_C61,20260101,2
BFA25GEN-L053-Weekday-00_C61,20260119,2
BFA25GEN-L053-Weekday-00_C61,20260216,2
BFA25GEN-M027-Sunday-00_C45,20251127,1
BFA25GEN-M027-Sunday-00_C45,20251225,2
BFA25GEN-M027-Sunday-00_C45,20251228,2
BFA25GEN-M027-Sunday-00_C45,20260101,1
BFA25GEN-M028-Saturday-00_C48,20251227,2
BFA25GEN-M028-Saturday-00_C48,20260119,1
BFA25GEN-M028-Saturday-00_C48,20260216,1
BFA25GEN-M093-Weekday-00_C11,20251127,2
BFA25GEN-M093-Weekday-00_C11,20251223,2
BFA25GEN-M093-Weekday-00_C11,20251224,2
BFA25GEN-M093-Weekday-00_C11,20251225,2
BFA25GEN-M093-Weekday-00_C11,20251226,2
BFA25GEN-M093-Weekday-00_C11,20251229,2
BFA25GEN-M093-Weekday-00_C11,20251230,2
BFA25GEN-M093-Weekday-00_C11,20251231,2
BFA25GEN-M093-Weekday-00_C11,20260101,2
BFA25GEN-M093-Weekday-00_C11,20260119,2
BFA25GEN-M093-Weekday-00_C11,20260216,2
BFA25GEN-N057-Saturday-00_C37,20251227,2
BFA25GEN-N057-Saturday-00_C37,20260119,1
BFA25GEN-N057-Saturday-00_C37,20260216,1
BFA25GEN-N060-Sunday-00_C4,20251127,1
BFA25GEN-N060-Sunday-00_C4,20251225,2
BFA25GEN-N060-Sunday-00_C4,20251228,2
BFA25GEN-N060-Sunday-00_C4,20260101,1
BFA25GEN-N101-Weekday-00_C27,20251127,2
BFA25GEN-N101-Weekday-00_C27,20251223,2
BFA25GEN-N101-Weekday-00_C27,20251224,2
BFA25GEN-N101-Weekday-00_C27,20251225,2
BFA25GEN-N101-Weekday-00_C27,20251226,2
BFA25GEN-N101-Weekday-00_C27,20251229,2
BFA25GEN-N101-Weekday-00_C27,20251230,2
BFA25GEN-N101-Weekday-00_C27,20251231,2
BFA25GEN-N101-Weekday-00_C27,20260101,2
BFA25GEN-N101-Weekday-00_C27,20260119,2
BFA25GEN-N101-Weekday-00_C27,20260216,2
BFA25GEN-Q022-Saturday-00_C26,20251227,2
BFA25GEN-Q022-Saturday-00_C26,20260119,1
BFA25GEN-Q022-Saturday-00_C26,20260216,1
BFA25GEN-Q024-Sunday-00_C34,20251127,1
BFA25GEN-Q024-Sunday-00_C34,20251225,2
BFA25GEN-Q024-Sunday-00_C34,20251228,2
BFA25GEN-Q024-Sunday-00_C34,20260101,1
BFA25GEN-Q071-Weekday-00_C46,20251127,2
BFA25GEN-Q071-Weekday-00_C46,20251223,2
BFA25GEN-Q071-Weekday-00_C46,20251224,2
BFA25GEN-Q071-Weekday-00_C46,20251225,2
BFA25GEN-Q071-Weekday-00_C46,20251226,2
BFA25GEN-Q071-Weekday-00_C46,20251229,2
BFA25GEN-Q071-Weekday-00_C46,20251230,2
BFA25GEN-Q071-Weekday-00_C46,20251231,2
BFA25GEN-Q071-Weekday-00_C46,20260101,2
BFA25GEN-Q071-Weekday-00_C46,20260119,2
BFA25GEN-Q071-Weekday-00_C46,20260216,2
BFA25GEN-R052-Sunday-00_C42,20251127,1
BFA25GEN-R052-Sunday-00_C42,20251225,2
BFA25GEN-R052-Sunday-00_C42,20251228,2
BFA25GEN-R052-Sunday-00_C42,20260101,1
BFA25GEN-R053-Saturday-00_C1,20251227,2
BFA25GEN-R053-Saturday-00_C1,20260119,1
BFA25GEN-R053-Saturday-00_C1,20260216,1
BFA25GEN-R096-Weekday-00_C40,20251127,2
BFA25GEN-R096-Weekday-00_C40,20251223,2
BFA25GEN-R096-Weekday-00_C40,20251224,2
BFA25GEN-R096-Weekday-00_C40,20251225,2
BFA25GEN-R096-Weekday-00_C40,20251226,2
BFA25GEN-R096-Weekday-00_C40,20251229,2
BFA25GEN-R096-Weekday-00_C40,20251230,2
BFA25GEN-R096-Weekday-00_C40,20251231,2
BFA25GEN-R096-Weekday-00_C40,20260101,2
BFA25GEN-R096-Weekday-00_C40,20260119,2
BFA25GEN-R096-Weekday-00_C40,20260216,2
L0S1,20251223,1
L0S2,20251224,1
L0S3,20251225,1
L0S4,20251226,1
L0S4 -1,20251225,1
L0S5,20251227,1
L0S5 -1,20251226,1
L0S6,20251228,1
L0S7,20251229,1
L0S7 -1,20251228,1
L0S8,20251230,1
L0S8 -1,20251229,1
L0S9,20251231,1
L0S9 -1,20251230,1
L1S1,20251223,1
L1S1 -1,20251222,1
L1S2,20251224,1
L1S2 -1,20251223,1
L1S3,20251225,1
L1S4,20251226,1
L1S5,20251229,1
L1S6,20251230,1
L1S7,20251231,1
L2S1,20251223,1
L2S2,20251224,1
L2S3,20251229,1
L2S4,20251230,1
L3S1,20251223,1
L3S2,20251224,1
SIR-FA2017-SI017-Saturday-00,20260119,1
SIR-FA2017-SI017-Saturday-00,20260216,1
SIR-FA2017-SI017-Saturday-00_C15,20251227,2
SIR-FA2017-SI017-Saturday-00_C15,20260119,1
SIR-FA2017-SI017-Saturday-00_C15,20260216,1
SIR-FA2017-SI017-Sunday-00,20251127,1
SIR-FA2017-SI017-Sunday-00,20251225,1
SIR-FA2017-SI017-Sunday-00,20260101,1
SIR-FA2017-SI017-Sunday-00_C60,20251127,1
SIR-FA2017-SI017-Sunday-00_C60,20251225,1
SIR-FA2017-SI017-Sunday-00_C60,20251228,2
SIR-FA2017-SI017-Sunday-00_C60,20260101,1
SIR-FA2017-SI017-Weekday-08,20251127,2
SIR-FA2017-SI017-Weekday-08,20251225,2
SIR-FA2017-SI017-Weekday-08,20260101,2
